date,close,day_of_week,month,year,returns,ma_7,ma_15,ma_30
2015-01-01,25865.846924793375,3,1,2015,0.03273603381436341,26157.84918110382,26068.42564003963,25948.59641594918
2015-01-02,26712.592164360558,4,1,2015,0.03273603381436341,26157.84918110382,26068.42564003963,25948.59641594918
2015-01-03,26489.422172708106,5,1,2015,-0.008354486538756811,26157.84918110382,26068.42564003963,25948.59641594918
2015-01-04,26225.60062446583,6,1,2015,-0.00995950559140879,26157.84918110382,26068.42564003963,25948.59641594918
2015-01-05,26133.594472156645,0,1,2015,-0.0035082572035872728,26157.84918110382,26068.42564003963,25948.59641594918
2015-01-06,26087.92054935374,1,1,2015,-0.0017477091737826411,26157.84918110382,26068.42564003963,25948.59641594918
2015-01-07,25589.96735988848,2,1,2015,-0.01908750022920458,26157.84918110382,26068.42564003963,25948.59641594918
2015-01-08,26955.209206575943,3,1,2015,0.05335066776315789,26313.472364215613,26068.42564003963,25948.59641594918
2015-01-09,25933.392806377524,4,1,2015,-0.03790793803036552,26202.158170218037,26068.42564003963,25948.59641594918
2015-01-10,26190.20695990357,5,1,2015,0.009902836680239169,26159.413139817392,26068.42564003963,25948.59641594918
2015-01-11,25292.479563623896,6,1,2015,-0.03427721658152871,26026.11013112569,26068.42564003963,25948.59641594918
2015-01-12,26759.64991478912,0,1,2015,0.05800816592436164,26115.546622930324,26068.42564003963,25948.59641594918
2015-01-13,26450.406182368668,1,1,2015,-0.01155634447405618,26167.3302847896,26068.42564003963,25948.59641594918
2015-01-14,25250.740234153174,2,1,2015,-0.04535529397711735,26118.869266827413,26068.42564003963,25948.59641594918
2015-01-15,25089.35546507584,3,1,2015,-0.006391288634740699,25852.3187323274,26068.42564003963,25948.59641594918
2015-01-16,25284.386023176587,4,1,2015,0.007773438356048157,25759.60347758441,26029.661579931846,25948.59641594918
2015-01-17,25241.989443322407,5,1,2015,-0.0016767889801759805,25624.143832358528,25931.621398529303,25948.59641594918
2015-01-18,26287.469677514146,6,1,2015,0.04141829773517758,25766.285277199993,25918.157898849706,25948.59641594918
2015-01-19,25331.387173444935,0,1,2015,-0.03637027510818314,25562.24774272225,25858.543668781644,25948.59641594918
2015-01-20,25249.90117137684,1,1,2015,-0.0032167998345355997,25390.747026866276,25799.630782062995,25948.59641594918
2015-01-21,25957.849758117805,2,1,2015,0.02803767753132802,25491.76267314694,25790.959395980593,25948.59641594918
2015-01-22,25533.480372581886,3,1,2015,-0.016348402871975476,25555.209088504947,25787.193596826823,25948.59641594918
2015-01-23,25540.519350457587,4,1,2015,0.0002756763971456522,25591.799563830802,25692.880939752267,25948.59641594918
2015-01-24,26117.70028689441,5,1,2015,0.022598637424594115,25716.901112912514,25705.168105120058,25948.59641594918
2015-01-25,25826.065820664546,6,1,2015,-0.011166161761041571,25650.986276219715,25680.892029170795,25948.59641594918
2015-01-26,26275.83735133812,0,1,2015,0.01741541022147053,25785.907730204457,25746.44921501841,25948.59641594918
2015-01-27,25729.062141881917,1,1,2015,-0.020809049856154505,25854.359297419465,25677.74336349126,25948.59641594918
2015-01-28,26564.903297826928,2,1,2015,0.03248626597175597,25941.081231663626,25685.37650452181,25948.59641594918
2015-01-29,26209.84657703878,3,1,2015,-0.013365631969651903,26037.70497515747,25749.31692738085,25948.59641594918
2015-01-30,26281.109432244062,4,1,2015,0.0027189344659388492,26143.503558269822,25828.76719185873,25948.59641594918
2015-01-31,26689.261924090315,5,1,2015,0.015530261113919863,26225.15522072638,25922.42558525298,25976.043582592414
2015-02-01,25612.00047748852,6,2,2015,-0.04036310369562657,26194.57445741552,25947.092987530716,25939.357193030013
2015-02-02,25709.1652302105,0,2,2015,0.0037937197762971664,26113.62129725443,25908.539357710473,25913.34862828009
2015-02-03,26964.48685114405,1,2,2015,0.048827786110240634,26290.110541434737,26017.412669557085,25937.978169169368
2015-02-04,26902.086181406125,2,2,2015,-0.002314179761046642,26338.279524803194,26127.558336892373,25963.594559477682
2015-02-05,26938.58244283567,3,2,2015,0.001356633131848639,26442.38464848846,26192.94051587356,25991.94995592708
2015-02-06,25742.76842500917,4,2,2015,-0.044390383954465484,26365.47879031205,26206.89305270205,25997.043324764432
2015-02-07,25077.90244254406,5,2,2015,-0.02582729143533735,26135.284578662588,26176.051925507807,25934.466432630037
2015-02-08,26047.130424227307,6,2,2015,0.038648686185132286,26197.445999625266,26171.347267996673,25938.257686558365
2015-02-09,26252.264012033564,0,2,2015,0.00787547743130479,26275.031539885706,26199.760480754605,25940.326254962696
2015-02-10,25691.46517538424,1,2,2015,-0.02136192278091764,26093.171300491445,26160.802335691013,25953.625775354707
2015-02-11,26844.67441269413,2,2,2015,0.04488686143189735,26084.969619246873,26235.176487078494,25956.459925284875
2015-02-12,26455.572098471694,3,2,2015,-0.014494581243214455,26015.968141480593,26227.887740454815,25956.632122488307
2015-02-13,27710.072559291384,4,2,2015,0.0474191393839547,26297.011589235197,26327.90280593832,26038.609866659583
2015-02-14,26716.829027677355,5,2,2015,-0.03584413319340041,26531.143958539953,26356.95077896721,26092.858985412968
2015-02-15,27298.97984582745,6,2,2015,0.021789667387062117,26709.97959019712,26397.59864041635,26160.012112834665
2015-02-16,26725.705191012832,0,2,2015,-0.02099985633354129,26777.614044337013,26471.845621317967,26209.469304424347
2015-02-17,26853.558360507832,1,2,2015,0.004783902560520303,26943.627356497524,26548.138496671123,26228.3389271908
2015-02-18,26805.100891673304,2,2,2015,-0.0018045082958462189,26937.973996351688,26537.51276603974,26277.462717798415
2015-02-19,25960.525798311817,3,2,2015,-0.03150799904744417,26867.253096328852,26474.742073833455,26301.150205362916
2015-02-20,26590.37152702363,4,2,2015,0.02426167072289309,26707.295806004888,26451.52801277932,26322.234264326442
2015-02-21,26915.876543362934,5,2,2015,0.012241461764025852,26735.731165388544,26529.735220669572,26368.31413668581
2015-02-22,27316.427404666025,6,2,2015,0.014881583390300657,26738.22367379405,26678.970218144368,26427.51107182609
2015-02-23,27317.918449796176,0,2,2015,5.458419243709045e-05,26822.825567905962,26763.689419848957,26467.518343922813
2015-02-24,27044.15284224735,1,2,2015,-0.010021466608151064,26850.053351011604,26816.482008529878,26508.121244642243
2015-02-25,27288.197018179057,2,2,2015,0.00902391645821754,26919.06708336957,26922.930798049532,26541.86656687027
2015-02-26,25822.975520591433,3,2,2015,-0.05369433153137637,26899.417043695226,26854.81753857602,26544.997012827258
2015-02-27,26054.806181955777,4,2,2015,0.0089776897003786,26822.907708685536,26828.099810808293,26527.99377563155
2015-02-28,26379.603863933116,5,2,2015,0.012465941205207498,26746.297325909847,26739.401897784403,26533.65235186136
2015-03-01,26430.3311130719,6,3,2015,0.0019229723615425964,26619.7121413964,26720.30203681071,26538.626407888954
2015-03-02,25835.221141723112,0,3,2015,-0.022516175404797,26407.898240243107,26622.71812320375,26510.158381810048
2015-03-03,25813.795848099853,1,3,2015,-0.0008293056020587386,26232.13295536489,26561.924167009554,26516.88489416376
2015-03-04,27263.257918750107,2,3,2015,0.05615067536675156,26228.570226875043,26589.237470892374,26568.687983781747
2015-03-05,26128.018978595184,3,3,2015,-0.04163988557560361,26272.147863732727,26544.098676687165,26540.805721363453
2015-03-06,25886.82275535011,4,3,2015,-0.009231324557849918,26248.150231360483,26539.18514048972,26506.963607161586
2015-03-07,26629.31703298361,5,3,2015,0.028682325546500298,26283.82354122484,26541.781507553715,26496.654760166515
2015-03-08,26969.386653788726,6,3,2015,0.012770497282521331,26360.83147561296,26545.34884824877,26537.54203445917
2015-03-09,27448.684799460687,0,3,2015,0.017771933482388924,26591.32628386118,26554.16600790175,26616.568113023055
2015-03-10,25992.678668544155,1,3,2015,-0.0530446592087771,26616.880972496085,26465.816689151616,26614.75305450028
2015-03-11,27632.597252851465,2,3,2015,0.06309155763510854,26669.643734510562,26505.046316525215,26660.76416252755
2015-03-12,27766.30891660963,3,3,2015,0.004838910455453593,26903.685154226907,26536.920443087256,26729.925620568392
2015-03-13,26682.240015118314,4,3,2015,-0.03904260032354645,27017.316191336657,26594.204742722384,26724.511140649203
2015-03-14,25942.494522167166,5,3,2015,-0.027724264999190562,26919.19868979145,26586.71729873648,26707.408554772384
2015-03-15,27464.84591246176,6,3,2015,0.05868176589548035,26989.978583887594,26659.066768638386,26699.234333211396
2015-03-16,27577.33688140011,0,3,2015,0.004095816495635729,27008.357452736087,26735.533819860266,26727.917928335486
2015-03-17,28158.3350814817,1,3,2015,0.02106795890336488,27317.73694029859,26890.408082510836,26756.563102857293
2015-03-18,28274.50177667646,2,3,2015,0.004125481668522335,27409.437586559307,27054.455144415944,26808.18965571275
2015-03-19,27322.7736061494,3,3,2015,-0.03366029852777597,27346.075399350702,27058.42285690923,26823.830163900802
2015-03-20,27494.044774200836,4,3,2015,0.006268440039077561,27462.04750779106,27149.49124328294,26846.794959985054
2015-03-21,27768.309185443155,5,3,2015,0.009975411529833389,27722.878173973346,27274.92367195581,26907.054406222764
2015-03-22,28489.786423587393,6,3,2015,0.02598203705260005,27869.298246991297,27398.95496466273,26970.36823610822
2015-03-23,27792.18144906617,0,3,2015,-0.024486142652991538,27899.990328086446,27453.807951014558,26999.578399631664
2015-03-24,27849.274435664305,1,3,2015,0.002054282306078292,27855.83880725539,27480.513926761465,27017.33996733161
2015-03-25,26815.905228130254,2,3,2015,-0.03710578564340261,27647.467871748784,27535.39569740054,27000.606193276075
2015-03-26,26638.209552478744,3,3,2015,-0.006626502970524584,27549.673006938694,27469.10318404236,26987.074750283788
2015-03-27,26871.18060885192,4,3,2015,0.008745747566637707,27460.69241188885,27409.427963525177,26973.17420330622
2015-03-28,27595.348175006962,5,3,2015,0.026949599896496146,27435.983696112253,27470.301840851087,27032.253291786732
2015-03-29,27477.4460227861,6,3,2015,-0.004272537221604922,27291.363638854917,27572.631940892352,27079.674619814417
2015-03-30,28238.32725835334,0,3,2015,0.027691119288753008,27355.098754467377,27624.19736395179,27141.632066295086
2015-03-31,27321.392176164318,1,3,2015,-0.03247129597302112,27279.687003110233,27607.134383602734,27171.3341017315
2015-04-01,29383.78002218416,2,4,2015,0.07548619165238257,27646.526259403647,27688.830712982905,27289.619397746872
2015-04-02,30216.600865975844,3,4,2015,0.028342876347526413,28157.725018474663,27818.303985602863,27436.379565009403
2015-04-03,30093.912696748826,4,4,2015,-0.004060290228248831,28618.11531674565,28003.046591642822,27530.734724276026
2015-04-04,29913.348966176804,5,4,2015,-0.006000008453255434,28949.25828691277,28164.333537774553,27656.91239052875
2015-04-05,30590.97658879067,6,4,2015,0.022653017667131348,29394.048367770567,28352.511364664384,27813.7175183101
2015-04-06,30815.438653573714,0,4,2015,0.007337525303631409,29762.207138516333,28507.554846663475,27953.2549056631
2015-04-07,30850.305804503383,1,4,2015,0.0011314831932669467,30266.337656850486,28711.429803692623,28082.618877353594
2015-04-08,29780.10668619238,2,4,2015,-0.0346900651517944,30322.955751708803,28840.15195372783,28160.332940244647
2015-04-09,29275.175577326205,3,4,2015,-0.016955315647015023,30188.466424758855,29004.10331034089,28269.749503870717
2015-04-10,29499.66359292335,4,4,2015,0.007668203902114534,30103.573695640927,29194.866913037196,28331.98504853978
2015-04-11,29727.047447069788,5,4,2015,0.007708015158552017,30076.95919291136,29385.258035585055,28397.34299955512
2015-04-12,30654.152447496923,6,4,2015,0.031187254707279122,30085.98431558368,29589.17832041772,28529.740080634405
2015-04-13,30510.885296995493,0,4,2015,-0.004673662099998088,30042.47669321536,29791.407605365013,28682.019773128683
2015-04-14,30787.228595113538,1,4,2015,0.009057203533365143,30033.465663302522,29961.334361149024,28792.76586255041
2015-04-15,31730.940732548504,2,4,2015,0.030652714794366043,30312.156241353397,30255.304264907973,28931.219324255355
2015-04-16,30391.473150763326,3,4,2015,-0.042213295630759484,30471.62732327299,30322.483806813252,29005.657259898075
2015-04-17,30567.13931678472,4,4,2015,0.005780113558496058,30624.123855253187,30345.853036867175,29082.078511235017
2015-04-18,31248.933316366376,5,4,2015,0.02230480230798948,30841.53612229555,30422.854411508346,29212.950501575586
2015-04-19,30159.501933938205,6,4,2015,-0.0348629942468337,30770.87176321574,30439.264609359103,29301.799073566825
2015-04-20,29662.425496027055,0,4,2015,-0.01648158643335529,30649.663220220245,30377.361203174867,29364.936283919626
2015-04-21,29846.732828980195,1,4,2015,0.006213495015025883,30515.306682201197,30312.78081486863,29410.167830766055
2015-04-22,29529.067827666775,2,4,2015,-0.010643208525824899,30200.75341007524,30224.698283079524,29468.06404338607
2015-04-23,30981.37915282655,3,4,2015,0.0491824304659918,30285.02569608427,30304.783114188467,29572.467533958144
2015-04-24,30306.98030950347,4,4,2015,-0.0217678767622439,30247.860123615515,30373.570096333617,29688.836703337256
2015-04-25,29789.581902815215,5,4,2015,-0.017071922092020908,30039.381350251067,30392.897983659743,29793.88244834847
2015-04-26,30998.991644207435,6,4,2015,0.04059841273831122,30159.308451718098,30477.69426346892,29931.47614952699
2015-04-27,30723.00671584458,0,4,2015,-0.008903029218836678,30310.820054549175,30482.28454802543,30035.731434221576
2015-04-28,29958.28691940113,1,4,2015,-0.024890786358129136,30326.75635318074,30445.444656185802,30118.42613077541
2015-04-29,30628.573999277352,2,4,2015,0.022374012295147017,30483.82866341082,30434.86768313006,30198.101022139545
2015-04-30,30307.028861682957,3,4,2015,-0.010498207902267409,30387.49290753316,30339.940225072358,30297.62224499016
2015-05-01,30616.40601657737,4,5,2015,0.010208099127973602,30431.696579972293,30354.935749459957,30338.709778136606
2015-05-02,30436.579910326665,5,5,2015,-0.005873521083870403,30524.12486675964,30346.231789029425,30346.042412948296
2015-05-03,30225.83717588201,6,5,2015,-0.006923995240777803,30413.67422842744,30278.0253796638,30350.439895586067
2015-05-04,30332.410824349212,0,5,2015,0.0035259122136819254,30357.874815356674,30289.55263902453,30364.40862419182
2015-05-05,30420.53229427055,1,5,2015,0.00290519175780779,30423.909868909446,30340.09309224076,30358.727147707817
2015-05-06,30994.540011937177,2,5,2015,0.018869088552232016,30476.19072786085,30416.61357110456,30364.697192986598
2015-05-07,32050.03255346245,3,5,2015,0.03405414441120147,30725.19125525792,30584.677886157606,30404.688084618563
2015-05-08,32103.01628755753,4,5,2015,0.00165315695098589,30937.564151112227,30659.453695139673,30482.118404664074
2015-05-09,30737.536001380995,5,5,2015,-0.04253432991920347,30980.557878405703,30688.15740793151,30530.863752132565
